id,gemini_recall,qwq_recall,delta,gemini_hit,qwq_hit,n_gt,qwq_n_gt,same_gt_steps,hit_step_agree,hit_step_disagree,gemini_pred_steps,qwq_pred_steps,gemini_eff,qwq_eff
PMC11298319,0.4,1.0,0.6,2,7,5,7,False,0,0,7,10,1.0,0.9
PMC11312071,0.0,1.0,1.0,0,10,5,10,False,0,0,7,10,0.7142857142857143,0.9
PMC11312185,0.3333333333333333,0.0,-0.3333333333333333,1,0,3,3,True,2,1,7,10,1.0,0.4
PMC11321471,0.0,1.0,1.0,0,6,7,6,False,0,0,6,9,1.0,0.7777777777777778
PMC11331560,0.0,0.3333333333333333,0.3333333333333333,0,2,7,6,False,0,0,7,10,1.0,0.6
PMC11333776,0.1,0.7,0.6,1,7,10,10,False,0,0,7,10,0.42857142857142855,1.0
PMC11340269,0.4,0.2,-0.2,2,1,5,5,True,4,1,7,10,1.0,0.6
PMC11342857,0.375,0.875,0.5,3,7,8,8,False,0,0,10,10,1.0,0.9
PMC11342873,0.2857142857142857,1.0,0.7142857142857143,2,7,7,7,False,0,0,4,10,1.0,0.3
PMC11344579,0.6666666666666666,0.7142857142857143,0.04761904761904767,4,5,6,7,False,0,0,7,8,1.0,0.75
PMC11346820,0.42857142857142855,1.0,0.5714285714285714,3,6,7,6,False,0,0,7,10,0.8571428571428571,0.8
PMC11347276,0.4,1.0,0.6,2,6,5,6,False,0,0,5,10,1.0,0.7
PMC11348727,0.14285714285714285,0.14285714285714285,0.0,1,1,7,7,True,5,2,10,10,1.0,0.7
PMC11350315,0.2222222222222222,0.7,0.47777777777777775,2,7,9,10,False,0,0,6,9,1.0,0.7777777777777778
PMC11350480,0.375,0.5,0.125,3,4,8,8,False,0,0,7,10,1.0,0.8
PMC11351560,0.5,0.8333333333333334,0.33333333333333337,3,5,6,6,False,0,0,5,10,1.0,0.9
PMC11352534,0.2857142857142857,1.0,0.7142857142857143,2,6,7,6,False,0,0,5,10,0.6,0.8
PMC11352849,0.5555555555555556,1.0,0.4444444444444444,5,8,9,8,False,0,0,9,10,1.0,0.7
PMC11352915,0.7142857142857143,1.0,0.2857142857142857,5,10,7,10,False,0,0,9,10,0.8888888888888888,1.0
PMC11353823,0.0,0.8888888888888888,0.8888888888888888,0,8,10,9,False,0,0,9,10,0.8888888888888888,1.0
PMC11353925,0.3333333333333333,0.75,0.4166666666666667,3,6,9,8,False,0,0,7,10,0.8571428571428571,1.0
PMC11353973,0.1111111111111111,1.0,0.8888888888888888,1,6,9,6,False,0,0,10,10,0.9,0.8
PMC11354799,0.7142857142857143,1.0,0.2857142857142857,5,7,7,7,False,0,0,5,10,1.0,0.7
PMC11355980,0.2,1.0,0.8,2,9,10,9,False,0,0,5,7,1.0,1.0
PMC11356015,0.2857142857142857,0.9,0.6142857142857143,2,9,7,10,False,0,0,7,10,1.0,0.9
PMC11356772,0.4,0.6666666666666666,0.2666666666666666,4,4,10,6,False,0,0,7,10,1.0,0.9
PMC11356858,1.0,1.0,0.0,4,9,4,9,False,0,0,6,10,0.8333333333333334,0.4
PMC11358852,0.6,0.875,0.275,3,7,5,8,False,0,0,7,10,1.0,0.9
PMC11359919,0.8333333333333334,0.3333333333333333,-0.5,5,3,6,9,False,0,0,10,10,1.0,0.8
PMC11361325,0.2222222222222222,1.0,0.7777777777777778,2,9,9,9,False,0,0,8,10,1.0,0.8
